HOMETEAM,Goals
Brazil,82
Italy,57
Argentina,54
Germany FR,43
England,35
Germany,34
Netherlands,32
France,31
Spain,30
Uruguay,28
Sweden,27
Soviet Union,18
Belgium,18
Hungary,18
Yugoslavia,17
Mexico,16
Portugal,16
Poland,16
USA,15
Korea Republic,14
Chile,14
Austria,13
Switzerland,12
Paraguay,11
Cameroon,11
Czechoslovakia,10
Japan,10
Scotland,9
Nigeria,9
Romania,9
Costa Rica,7
Colombia,7
Bulgaria,7
Denmark,7
Algeria,6
Australia,6
South Africa,6
Saudi Arabia,6
Honduras,5
Peru,5
Republic of Ireland,5
Northern Ireland,5
Ghana,4
Tunisia,4
Morocco,4
Ecuador,4
Greece,4
German DR,3
Russia,3
Cï¿½te d'Ivoire,3
Korea DPR,3
Croatia,3
Slovenia,3
Zaire,2
Turkey,2
Senegal,2
Slovakia,2
Iraq,2
Czech Republic,2
Cuba,2
Togo,2
Bosnia and Herzegovina,1
IR Iran,1
Norway,1
Trinidad and Tobago,1
Ukraine,1
Haiti,1
Iran,1
Serbia,1
Canada,1
Angola,1
Bolivia,1
United Arab Emirates,1
Jamaica,1
Serbia and Montenegro,1
China PR,1
New Zealand,1
Wales,1
