Country,1930,1934,1938,1950,1954,1958,1962,1966,1970,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014
Algeria,,,,,,,,,,,,3,1,,,,,,0,1
Angola,,,,,,,,,,,,,,,,,,0,,
Argentina,16,,,,,4,1,4,,7,15,7,13,3,6,9,1,10,8,7
Australia,,,,,,,,,,0,,,,,,,,3,2,2
Austria,,5,,,16,,,,,,6,2,,2,,,,,,
Belgium,,,,,,,,,3,,,2,1,6,2,3,3,,,7
Bolivia,,,,,,,,,,,,,,,1,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,3
Brazil,4,,13,21,6,16,14,2,19,1,9,10,6,4,7,14,9,6,8,11
Bulgaria,,,,,,,,,1,2,,,1,,7,,,,,
Cameroon,,,,,,,,,,,,,,4,2,1,1,,2,1
Canada,,,,,,,,,,,,,0,,,,,,,
Chile,4,,,5,,,8,,,1,,0,,,,2,,,2,3
China PR,,,,,,,,,,,,,,,,,0,,,
Côte d'Ivoire,,,,,,,,,,,,,,,,,,3,0,2
Colombia,,,,,,,,,,,,,,,1,1,,,,9
Costa Rica,,,,,,,,,,,,,,1,,,3,1,,2
Croatia,,,,,,,,,,,,,,,,,0,2,,1
Cuba,,,5,,,,,,,,,,,,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,0,,
Czechoslovakia,,8,3,,,6,5,,,,,1,,4,,,,,,
Denmark,,,,,,,,,,,,,9,,,,3,,1,
Ecuador,,,,,,,,,,,,,,,,,1,3,,0
England,,,,2,6,2,3,11,2,,,6,6,6,,2,2,4,1,1
France,4,,3,,3,19,,1,,,3,9,5,,,12,0,1,1,7
German DR,,,,,,,,,,3,,,,,,,,,,
Germany,,10,,,,,,,,,,,,,8,8,12,11,8,12
Germany FR,,,,,22,5,4,13,14,5,8,11,2,15,,,,,,
Ghana,,,,,,,,,,,,,,,,,,2,1,1
Greece,,,,,,,,,,,,,,,0,,,,2,2
Haiti,,,,,,,,,,0,,,,,,,,,,
Honduras,,,,,,,,,,,,1,,,,,,,0,1
Hungary,,4,13,,25,5,8,6,,,,10,2,,,,,,,
IR Iran,,,,,,,,,,,,,,,,,,,,0
Iran,,,,,,,,,,,,,,,,,,1,,
Iraq,,,,,,,,,,,,,1,,,,,,,
Italy,,12,11,2,4,,3,2,9,3,7,10,1,10,4,8,3,8,2,0
Jamaica,,,,,,,,,,,,,,,,1,,,,
Japan,,,,,,,,,,,,,,,,1,3,1,1,1
Korea DPR,,,,,,,,2,,,,,,,,,,,0,
Korea Republic,,,,,,,,,,,,,3,1,0,1,7,2,2,2
Mexico,,,,,,1,3,,5,,,,3,,3,,3,3,0,1
Morocco,,,,,,,,,,,,,0,,1,2,,,,
Netherlands,,,,,,,,,,7,10,,,1,6,12,,2,7,6
New Zealand,,,,,,,,,,,,,,,,,,,1,
Nigeria,,,,,,,,,,,,,,,4,3,0,,2,3
Northern Ireland,,,,,,3,,,,,,1,1,,,,,,,
Norway,,,,,,,,,,,,,,,1,,,,,
Paraguay,1,,,,,6,,,,,,,3,,,0,2,2,0,
Peru,,,,,,,,,6,,7,0,,,,,,,,
Poland,,,,,,,,,,7,5,11,1,,,,3,0,,
Portugal,,,,,,,,16,,,,,2,,,,4,5,7,2
Republic of Ireland,,,,,,,,,,,,,,1,0,,1,,,
Romania,3,,,,,,,,2,,,,,,6,4,,,,
Russia,,,,,,,,,,,,,,,6,,2,,,1
Saudi Arabia,,,,,,,,,,,,,,,3,0,0,0,,
Scotland,,,,,,,,,,1,4,5,0,,,1,,,,
Senegal,,,,,,,,,,,,,,,,,3,,,
Serbia,,,,,,,,,,,,,,,,,,,0,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,0,,
Slovakia,,,,,,,,,,,,,,,,,,,3,
Slovenia,,,,,,,,,,,,,,,,,1,,2,
South Africa,,,,,,,,,,,,,,,,3,3,,1,
Soviet Union,,,,,,5,8,8,6,,,5,11,0,,,,,,
Spain,,3,,6,,,1,2,,,1,3,1,1,5,8,7,8,3,1
Sweden,,3,8,8,,10,,,2,5,1,,,2,7,,4,3,,
Switzerland,,3,5,2,6,,,,,,,,,,0,,,2,0,4
Togo,,,,,,,,,,,,,,,,,,0,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,0,,
Tunisia,,,,,,,,,,,3,,,,,,1,2,,
Turkey,,,,,7,,,,,,,,,,,,3,,,
Ukraine,,,,,,,,,,,,,,,,,,1,,
United Arab Emirates,,,,,,,,,,,,,,0,,,,,,
Uruguay,15,,,15,13,,2,2,3,0,,,1,0,,,1,,7,3
USA,6,,,1,,,,,,,,,,1,3,1,3,0,2,2
Wales,,,,,,2,,,,,,,,,,,,,,
Yugoslavia,6,,,7,1,4,9,,,9,,0,,5,,1,,,,
Zaire,,,,,,,,,,0,,,,,,,,,,
